T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
2.84,10,1500,1000,1,0.32710666666666716,0.15004506666666623,0.047158803306666705,0.00684912560654473,0.3173268093004059,0.24088692878643303,2024-03-26 19:12:13.078103
2.82,10,1500,1000,1,0.30735999999999986,0.13662133333333293,0.04284160789333336,0.006941142771619928,0.3572621496434167,0.2632226572716829,2024-03-26 19:12:14.541783
2.8,10,1500,1000,1,0.3622800000000007,0.1797767999999998,0.06263553951999991,0.007223148280040908,0.30631366199242055,0.23448706915092943,2024-03-26 19:12:15.963790
2.78,10,1500,1000,1,0.37415999999999994,0.19381653333333332,0.07451253973333333,0.00767386540386808,0.32061461217845083,0.24277681711364188,2024-03-26 19:12:17.379082
2.76,10,1500,1000,1,0.37862666666666706,0.19474960000000002,0.07441335199999995,0.007417919524368219,0.30303532454563237,0.2325610970303515,2024-03-26 19:12:18.750490
2.74,10,1500,1000,1,0.4020666666666669,0.21976666666666703,0.09256968586666671,0.007920953274642114,0.30978979499521586,0.23651871176500303,2024-03-26 19:12:20.186527
2.72,10,1500,1000,1,0.3735466666666663,0.19311200000000014,0.07668627775999984,0.007677354243363793,0.3251314735415166,0.24535789846767245,2024-03-26 19:12:21.739650
2.7,10,1500,1000,1,0.38220000000000026,0.2021426666666669,0.08144623178666664,0.007848030118753822,0.323918691742296,0.24466660510398439,2024-03-26 19:12:23.306102
2.68,10,1500,1000,1,0.4026799999999996,0.22204826666666724,0.09538222730666691,0.008092991081472066,0.3201130169357203,0.24248909966721993,2024-03-26 19:12:24.817980
2.66,10,1500,1000,1,0.39207999999999976,0.20955466666666717,0.08596258282666668,0.007753681621599798,0.30765444330340297,0.23527197485461437,2024-03-26 19:12:26.108857
2.64,10,1500,1000,1,0.3636133333333334,0.18625306666666627,0.0733859636266666,0.007808085565824562,0.34615090893227624,0.2571412362725603,2024-03-26 19:12:27.519132
2.62,10,1500,1000,1,0.4805200000000003,0.291100000000001,0.13659744352000058,0.007654458245718569,0.22994454647764762,0.18695521447383118,2024-03-26 19:12:28.996270
2.6,10,1500,1000,1,0.46797333333333285,0.2847429333333345,0.13717347093333396,0.008200802910791402,0.267217672614399,0.2108695912227153,2024-03-26 19:12:30.594389
2.58,10,1500,1000,1,0.503906666666666,0.3147496000000009,0.15645337760000094,0.007598309282619754,0.21185904454750248,0.1748215235927944,2024-03-26 19:12:32.024675
2.56,10,1500,1000,1,0.5213200000000012,0.33416026666666776,0.17401197962666762,0.007658532343877348,0.20512667383050534,0.17021171158589368,2024-03-26 19:12:33.448253
2.54,10,1500,1000,1,0.510226666666666,0.3224392000000017,0.16427387040000097,0.007689152145729954,0.21395524282813472,0.17624640125091115,2024-03-26 19:12:34.986329
2.52,10,1500,1000,1,0.47377333333333316,0.2889058666666676,0.14331762698666745,0.008050825447006194,0.25431876224577804,0.20275449104375706,2024-03-26 19:12:36.521807
2.5,10,1500,1000,1,0.6146266666666672,0.43431706666666675,0.25580899978666793,0.006927305420800294,0.1364271062348681,0.12004914832317663,2024-03-26 19:12:37.976750
2.48,10,1500,1000,1,0.5284666666666659,0.3458434666666674,0.18955070986666744,0.007961611198170068,0.21418019808255806,0.17639902085439454,2024-03-26 19:12:39.502987
2.46,10,1500,1000,1,0.5926399999999996,0.40875786666666764,0.23028118122666802,0.007052655156898263,0.14837936226559514,0.1292076182672449,2024-03-26 19:12:40.990789
2.44,10,1500,1000,1,0.5656133333333332,0.38440986666666754,0.2175816922666676,0.0076716146475974524,0.18443602047925978,0.15571632176859262,2024-03-26 19:12:42.485116
2.42,10,1500,1000,1,0.6337466666666672,0.4581021333333342,0.27949768437333417,0.006878353988818826,0.12839586489743762,0.11378618877614179,2024-03-26 19:12:44.150147
2.4,10,1500,1000,1,0.6250266666666672,0.4554482666666665,0.28634478666666774,0.007513116483031099,0.15342234128478183,0.1330148860424246,2024-03-26 19:12:45.738275
2.38,10,5000,5000,5,0.6426880000000097,0.4737279999999933,0.29819142169599183,0.003814594773065257,0.4975076203259875,0.09049694055658018,2024-03-26 19:13:02.785956
2.36,10,5000,5000,5,0.6766640000000103,0.5112996799999882,0.33079941228798915,0.0035172980786549266,0.3945408098279637,0.07313705164843232,2024-03-26 19:13:19.897755
2.34,10,5000,5000,5,0.6902760000000157,0.5303858399999862,0.3521436104639878,0.0035317193090274026,0.39237272973488496,0.07276439322735316,2024-03-26 19:13:40.564250
2.32,10,5000,5000,5,0.7232760000000187,0.5687591199999833,0.38740989443198626,0.0031934934546313616,0.2937181154220901,0.055484275705275386,2024-03-26 19:13:57.422073
2.3,10,5000,5000,5,0.7316000000000183,0.5808764799999812,0.402896240511984,0.0031909296640695623,0.2888081120505967,0.05460740982312155,2024-03-26 19:14:14.904705
2.28,10,5000,5000,5,0.7470160000000211,0.5993219199999799,0.42154440639998564,0.003013836069340073,0.2498862860961226,0.04759841879964623,2024-03-26 19:14:32.051498
2.26,10,5000,5000,5,0.757000000000023,0.6119315199999783,0.4342563162879873,0.0029125153416417284,0.22704341671744666,0.043436298231482574,2024-03-26 19:14:49.031520
2.24,10,5000,5000,5,0.7822600000000255,0.6460165599999727,0.4722421654719915,0.0027051778342298645,0.18366000831734047,0.03543056605229749,2024-03-26 19:15:06.254066
2.22,10,5000,5000,5,0.7942920000000305,0.6634000799999735,0.49388510966399307,0.0026335562011574423,0.16752096688744017,0.03241805267184882,2024-03-26 19:15:22.980065
2.2,10,5000,5000,5,0.8132440000000304,0.6888095199999731,0.5228409123519969,0.0024036002993668435,0.13142858526056955,0.025612474786862054,2024-03-26 19:15:40.088233
2.18,10,5000,5000,5,0.8377240000000337,0.7225285599999687,0.5613506695359978,0.0020737413237667452,0.09097139208936246,0.017869161910970256,2024-03-26 19:15:57.179525
