T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
0.2,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:39:20.821171
0.1,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:39:27.662265
3.4,40,9000,7000,1,0.05291055555555583,0.0043574072916666914,5.5541133829753014e-05,0.0005380996723764152,0.3363804155229702,0.2517100756758197,2024-04-02 19:39:33.326033
4.0,30,8000,6000,1,0.055812222222221625,0.004877534567901171,7.1342543581771e-05,0.0005708002418294494,0.23942080692466425,0.193171524624257,2024-04-02 19:40:20.688996
3.9,30,8000,6000,1,0.05722833333333277,0.005193914814814764,8.263047877457614e-05,0.0006042892672070517,0.2612243058281161,0.20711962544727286,2024-04-02 19:41:13.367892
3.3,40,9000,7000,1,0.05414194444444454,0.004622709375000038,6.477995958170665e-05,0.0005676973140601062,0.3574530228716062,0.26332625648837327,2024-04-02 19:41:21.361327
3.8,30,8000,6000,1,0.0582633333333328,0.00524141975308636,7.886890069196673e-05,0.0005858515799844867,0.24338613458344974,0.19574461047451458,2024-04-02 19:42:07.414024
3.7,30,8000,6000,1,0.05931138888888823,0.005541054938271552,9.131437192196165e-05,0.0006264419752169449,0.27585372890143495,0.21621109273941372,2024-04-02 19:43:00.249847
3.2,40,9000,7000,1,0.060150416666667005,0.005667967187500081,9.622178036865378e-05,0.000634679886740036,0.3842813416648779,0.2776034972794634,2024-04-02 19:43:11.651335
3.6,30,8000,6000,1,0.06268333333333312,0.006173201234567863,0.00011382745785703114,0.0006687913418529155,0.2972935262509497,0.22916442596464554,2024-04-02 19:43:53.649360
3.5,30,8000,6000,1,0.066343055555555,0.006921188271604924,0.00014297512674592104,0.000720209598742458,0.323405810760422,0.2443738784663449,2024-04-02 19:44:45.915498
3.1,40,9000,7000,1,0.0590169444444447,0.005438553125000075,8.619127272623847e-05,0.0006187210374141807,0.38091215274535994,0.27584097365504184,2024-04-02 19:45:00.258306
3.4,30,8000,6000,1,0.06912083333333287,0.007486678395061706,0.00016849470784026548,0.0007521116332176118,0.335251751498476,0.2510775598101574,2024-04-02 19:45:38.840271
3.3,30,8000,6000,1,0.07074249999999967,0.0077664833333333134,0.00017107269601280124,0.0007595392029949215,0.33548668344574845,0.2512093063931902,2024-04-02 19:46:32.360705
3.0,40,9000,7000,1,0.06784819444444502,0.007183430034722297,0.00014860041914849118,0.0007262339890660598,0.41989255614701265,0.29572135886564777,2024-04-02 19:46:49.501913
3.2,30,8000,6000,1,0.07998055555555483,0.009946504938271514,0.00028339578864807125,0.000879152582814081,0.3709779710730233,0.27059367757942165,2024-04-02 19:47:24.547896
3.1,30,8000,6000,1,0.08661638888888783,0.011457416666666592,0.0003560070806127122,0.0009315756087889327,0.377703362610871,0.27415434473142997,2024-04-02 19:48:19.836326
2.9,40,9000,7000,1,0.07279388888888917,0.008377823958333391,0.0002140505902620417,0.0008114235359425238,0.4623118665941476,0.31615134716160953,2024-04-02 19:48:40.561482
